Japanese,English
、,","
。,.
何,what
あ,a
あなた,you
言,words
行,line
人,Man
知,knowledge
）,)
（,(
事,case
彼女,she
お前,you
話,Story
来,Next
分か,minutes
者,person
聞,Listen
死,death
時,Time
ああ,ah
殺,murder
前,Before
中,During ~
達,reach
必要,need
あの,that
気,air
大丈夫,Are you okay
」,”
「,""""
自分,myself
持,Hold
本当,TRUE
時間,time
我々,we
一,one
的,target
無,Nothing
ありがとう,thank you
家,House
会,Association
日,Day
年,Year
仕事,work
手,hand
一緒,together
後,rear
出来,Done
他,other
入,Enter
電話,phone
目,eye
様,Mr.
分,minutes
車,car
所,place
あんた,You
度,Every time
同じ,same
場所,place
問題,problem
子供,child
愛,Love
金,Money
名前,name
子,Child
信,Faith
さあ,here we go
少し,a bit
使,messenger
全て,all
世界,world
教え,lesson
通り,street
来る,come
上,Up
入れ,Get in
人間,human
行け,go
今日,today
物,thing
女,woman
呼,call
生き,alive
あれ,that
じゃあ,Well then
止め,stop
心配,anxiety
母,mother
連れ,companion
関係,relationship
外,outside
家族,family
起き,wake up
意味,meaning
神,God
警察,police
力,Power
最後,last
作,Made by
次,Next
息子,son
取,Tori
全部,All
間,while
書,book
捜査,investigation
起こ,wake up
回,times
別,another
情報,information
理由,reason
数,number
一人,One person
部屋,room
以上,that's all
人生,life
急,Sudden
食べ,eat
女性,woman
続け,continue
事件,incident
始め,start
最初,first
連絡,contact
まあ,oh dear
調べ,Investigation
安全,safety
下さ,Down
楽し,fun
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,promise
二,two
結婚,marriage
無理,Impossible
感じ,feeling
得,profit
最高,the best
送,sending
計画,plan
仲間,fellow
先,destination
可能,Possible
あいつ,that person
あと,After
明日,tomorrow
変わ,strange
聞こえ,I can hear it
確認,confirmation
命,life
着,Arrival
与え,give
全員,Everyone
動,motion
理解,Understanding
二人,Two persons
開け,open
友人,friend
機,machine
不,No
あげ,Fried
離れ,apart
戦,war
先生,teacher
言え,say
質問,question
置,Place
犯人,culprit
受け,received
感,Feeling
第,No.
あぁ,Ahh
伝え,Legend
素晴らし,Wonderful
ドア,door
本,Book
乗,Squared
用,for
感謝,thanks
正し,Correct
言葉,words
大,Big
立,standing
写真,photograph
２人,2 people
説明,explanation
博士,doctor
強,strength
絶対,absolute
座,seat
国,Country
向か,Across the street
名,given name
ある,be
野郎,Bastard